epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2245.89,0.9222,0.43293,1.08191,0.86929,0.81947,0.85956,0.42505,1.85085,0.87956,1.69686,0.000266532,0.000266532,0.000266532
68,2279.1,0.9066,0.43524,1.08527,0.86616,0.77886,0.85232,0.45914,1.75774,0.86379,1.6246,0.000253024,0.000253024,0.000253024
69,2312.1,0.87996,0.42254,1.05785,0.8703,0.78584,0.85571,0.45032,1.76442,0.86693,1.64229,0.000239766,0.000239766,0.000239766
70,2345.12,0.87537,0.42119,1.07503,0.87459,0.8,0.8538,0.45352,1.77741,0.8948,1.63494,0.000226769,0.000226769,0.000226769
71,2378.21,0.8693,0.40949,1.06349,0.87631,0.78761,0.84039,0.45171,1.7774,0.92613,1.62318,0.000214046,0.000214046,0.000214046
72,2411.3,0.84812,0.41532,1.05649,0.88064,0.78053,0.84432,0.44937,1.80768,0.9139,1.66399,0.000201611,0.000201611,0.000201611
73,2444.03,0.83317,0.40355,1.04185,0.85406,0.8079,0.85305,0.43872,1.83844,0.87896,1.69399,0.000189475,0.000189475,0.000189475
74,2477.06,0.80985,0.39093,1.03288,0.84259,0.81476,0.8494,0.44375,1.81879,0.86644,1.6769,0.000177651,0.000177651,0.000177651
75,2510.27,0.82305,0.40101,1.04677,0.85285,0.81036,0.84454,0.45224,1.7226,0.86954,1.59427,0.000166149,0.000166149,0.000166149
76,2543.46,0.84303,0.40409,1.03849,0.8767,0.79646,0.85352,0.4674,1.7185,0.83583,1.59806,0.000154982,0.000154982,0.000154982
77,2576.87,0.80852,0.38983,1.02573,0.87825,0.80531,0.85107,0.45789,1.74147,0.86285,1.62373,0.000144161,0.000144161,0.000144161
78,2610.34,0.84448,0.40359,1.04071,0.86933,0.81593,0.86327,0.46238,1.74545,0.85409,1.62731,0.000133695,0.000133695,0.000133695
79,2643.18,0.79642,0.39126,1.02528,0.85307,0.83233,0.86237,0.42776,1.85304,0.86657,1.7166,0.000123596,0.000123596,0.000123596
80,2675.95,0.79392,0.39067,1.03065,0.83901,0.83009,0.8628,0.46232,1.75176,0.82522,1.64218,0.000113873,0.000113873,0.000113873
81,2709.19,0.78686,0.38649,1.02665,0.8595,0.80885,0.8612,0.47203,1.73671,0.8183,1.62324,0.000104537,0.000104537,0.000104537
82,2743.01,0.77632,0.38628,1.01691,0.86827,0.82832,0.86968,0.46986,1.74362,0.83774,1.62552,9.55951e-05,9.55951e-05,9.55951e-05
83,2776.06,0.76521,0.3768,1.00669,0.86716,0.81062,0.86348,0.47072,1.73299,0.83081,1.63324,8.70577e-05,8.70577e-05,8.70577e-05
84,2809,0.77186,0.37785,1.01884,0.86792,0.81416,0.86008,0.4673,1.72928,0.84007,1.63401,7.89327e-05,7.89327e-05,7.89327e-05
85,2841.8,0.76551,0.38268,1.01532,0.87359,0.80708,0.86819,0.47718,1.7048,0.83479,1.61493,7.12282e-05,7.12282e-05,7.12282e-05
86,2875.76,0.78064,0.3787,1.00996,0.87709,0.80885,0.86626,0.47493,1.73563,0.82216,1.64057,6.39518e-05,6.39518e-05,6.39518e-05
87,2908.83,0.78289,0.3798,1.01429,0.88111,0.81416,0.87049,0.46733,1.7487,0.82106,1.64191,5.71106e-05,5.71106e-05,5.71106e-05
88,2941.98,0.76623,0.38167,0.99963,0.86347,0.81593,0.8666,0.47421,1.72879,0.85475,1.62157,5.07115e-05,5.07115e-05,5.07115e-05
89,2974.87,0.76446,0.36976,1.008,0.86134,0.81359,0.86586,0.47362,1.726,0.8608,1.62386,4.47606e-05,4.47606e-05,4.47606e-05
90,3008,0.7667,0.37643,1.01178,0.87489,0.80354,0.86454,0.46352,1.73257,0.85864,1.63704,3.9264e-05,3.9264e-05,3.9264e-05
91,3042.22,1.11972,0.48204,1.25177,0.87525,0.79115,0.85038,0.44906,1.73029,0.87147,1.62565,3.4227e-05,3.4227e-05,3.4227e-05
92,3075.66,1.11348,0.48201,1.24171,0.88017,0.79646,0.85536,0.45077,1.72458,0.8463,1.61943,2.96546e-05,2.96546e-05,2.96546e-05
93,3108.63,1.09679,0.47183,1.22477,0.88744,0.79541,0.85881,0.45335,1.71384,0.83186,1.60428,2.55513e-05,2.55513e-05,2.55513e-05
94,3141.42,1.10417,0.47445,1.21201,0.87164,0.80177,0.85491,0.45971,1.68907,0.83283,1.5751,2.19212e-05,2.19212e-05,2.19212e-05
95,3174.59,1.0841,0.46789,1.20673,0.87602,0.80885,0.86086,0.46504,1.68794,0.82398,1.57553,1.87678e-05,1.87678e-05,1.87678e-05
96,3207.43,1.08409,0.4608,1.2032,0.87322,0.81416,0.86495,0.46798,1.68711,0.8193,1.57133,1.60943e-05,1.60943e-05,1.60943e-05
97,3240.3,1.07928,0.46824,1.20007,0.87788,0.81239,0.86621,0.46729,1.68737,0.82269,1.56901,1.39032e-05,1.39032e-05,1.39032e-05
98,3273.48,1.06824,0.46492,1.19285,0.87289,0.81062,0.8646,0.46822,1.67758,0.81993,1.55557,1.21968e-05,1.21968e-05,1.21968e-05
99,3306.53,1.06614,0.4608,1.19298,0.87585,0.80531,0.86188,0.4675,1.67461,0.83103,1.54703,1.09768e-05,1.09768e-05,1.09768e-05
100,3339.28,1.07118,0.46659,1.18711,0.87918,0.81139,0.86428,0.47144,1.66822,0.82805,1.54078,1.02443e-05,1.02443e-05,1.02443e-05
